Year,Title,Director,Actor,Genre,Age Certification,Imdb
2014,Ala Ela,Aneesh Krishna,Rahul Ravindran,Drama,S,7.6
2014,Sri Vasavi Kanyaka Parameswari Charitra,Sripada Ramachandra Rao,Suman,Romance,U,4.8
2014,Chakkiligintha,Vema Reddy,Sumanth Ashwin,Action,U/A,8.2
2014,Lakshmi Raave Maa Intiki,Nandyala Ravi,Naga Shourya,Romance,S,8.9
2014,The End,Rahul Sankrityan,Yuva Chandraa,Drama,U,3.5
2014,Vundile Manchi Kalam Mundu Mundura,Arun Daasyam,Sudhakar Komakula,Romance / Thriller,U/A,7.6
2014,Choosinodiki Choosinanta,Anil Vatupalli,Sivaji,Comedy,S,4.8
2014,Ee Varsham Sakshiga,Ramana Mogili,Varun Sandesh,Comedy,U,8.2
2014,Saheba Subramanyam,Sasikiran Naryana,Dilip Kumar,Drama,U/A,8.9
2014,Panchabhoothalu Sakshiga,Kalicharan Maadina,Kalicharan,Romance,S,4
2014,O Manishi Katha,Radha Swamy Avula,Jagapati Babu,Romance,U,7.6
2014,Mukunda,Srikanth Addala,Varun Tej,Drama,U/A,4.8
2014,Chinnadana Nee Kosam,A. Karunakaran,Nithiin,Romance,S,8.2
2015,A Shyam Gopal Varma Film,Rakesh Srinivas,Shafi,Drama,U,8.9
2015,Mana Kurralle,Veera Sankar,Arvind Krishna,Action / Drama,U/A,1
2015,Lava Kusa,Jaya Sreesivan,Varun Sandesh,Romance / Drama,S,7.6
2015,Gopala Gopala,Kishore Kumar,Venkatesh,Comedy,U,4.9
2015,Pataas,Anil Ravipudi,Nandamuri Kalyan Ram,Action,U/A,8.2
2015,Beeruva,Kanmani,Sundeep Kishan,Romance,S,8.9
2015,Intelligent Idiots,Balaji Sanala,Posani Krishna Murali,Romance,U,1.5
2015,Top Rankers,Gollapati Nageshwara Rao,Rajendra Prasad,Romance,U/A,7.6
2015,Ladies & Gentleman,P B Manjunath,Adivi Sesh,Romance,S,4.9
2015,O Manasa,Sahaja Rao,Ajay,Romance / Drama,U,8.2
2015,Dorakadu,Varaprasad,Sivaji,Action,U/A,8.9
2015,Gaddam Gang,Santhosh P. Jayakumar,Rajasekhar,Drama,S,2
2015,Malli Malli Idi Rani Roju,Kranthi Madhav,Sharwanand,Drama,U,7.6
2015,Moodu Mukkallo Cheppalante,Madhumitha,Rakendu Mouli,Drama,U/A,4.9
2015,Pesarattu,Mahesh Kathi,Nandu,Comedy,S,8.2
2015,Temper,Puri Jagannadh,N. T. Rama Rao Jr.,Action,U,8.9
2015,Paddanandi Premalo Mari,Mahesh Upputuri,Varun Sandesh,Action,U/A,2.5
2015,Bandipotu,Mohan Krishna Indraganti,Allari Naresh,Romance,S,7.6
2015,Nuvvu Nenu Okatavudaam,P. Narasimha Reddy,Ranjith Swamy,Drama,U,4.9
2015,Gayakudu,Kamal. G,Ali Reza,Comedy/ Romance / Drama,U/A,8.2
2015,Bham Bolenath,Karthik Varma Dandu,Navdeep,Action,S,8.9
2015,Ramleela,Kiran,Havish,Romance,U,3
2015,Surya vs Surya,Karthik Ghattamaneni,Nikhil Siddharth,Action,U/A,7.6
2015,Naakaithe Nachindi,Trinadh Kosuru,Sri Balaji,Romance,S,4.9
2015,Anandam Malli Modalaindi,Akash,Jai Akash,Family,U,8.2
2015,Tommy,Raja Vannemreddy,Rajendra Prasad,Drama,U/A,8.9
2015,Thappatadugu,Sri Aarun,Surya Teja,Drama,S,3.5
2015,Calling Bell,Panna Royal,Ravi Verma,Action,U,7.6
2015,Tungabhadra,Srinivas Gogineni,Adith Arun,Romance,U/A,4.9
2015,Yevade Subramanyam,Nag Ashwin,Nani,Romance,S,8.2
2015,Janda Pai Kapiraju,Samuthirakani,Nani,Action,U,8.9
2015,Rey,YVS Chowdary,Sai Dharam Tej,Comedy,U/A,4
2015,Jil,Radha Krishna,Gopichand,Romance,S,7.6
2015,Avunu 2,Ravi Babu,Harshvardhan Rane,Romance,U,4.9
2015,S/O Satyamurthy,Trivikram Srinivas,Allu Arjun,Drama,U/A,8.2
2015,Budugu,Manmohan,Lakshmi Manchu,Action,S,8.9
2015,Varadhi,Kartikeya,Kranthi,Horror,U,1
2015,Noothi Lo Kappalu,Chanti Gnamami,Rajendra Prasad,Action,U/A,7.6
2015,Kai Raja Kai,Siva Ganesh,Josh Ravi,Romance / Action,S,4.9
2015,Dohchay,Sudheer Varma,Naga Chaitanya,Action,U,8.2
2015,Dongaata,Vamsi Krishna,Lakshmi Manchu,Drama,U/A,8.9
2015,Rajahmundry ki 50 km duramloo,Vijay Surya,Hemanth,Action,S,1.5
2015,Dagudumootha Dandakor,R.K Malineni,Rajendra Prasad,Action,U,7.6
2015,Lion,Satyadeva,Nandamuri Balakrishna,Action / Romance,U/A,4.9
2015,Dhee Ante Dhee,Srinivasa Rao,Srikanth,Action,S,8.2
2015,Mosagallaku Mosagadu,AN Bose,Sudheer Babu,Comedy,U,8.9
2015,365 Days,RGV,Nandoo,Comedy,U/A,2
2015,Pandaga Chesko,Gopichand Malineni,Ram,Romance,S,7.6
2015,Andhra Pori,Raj Mudiraju,Akash Puri,Action,U,4.9
2015,Asura,Krishna Vijay,Nara Rohit,Horror / Thriller / Drama,U/A,8.2
2015,Singam 123,Akshat Sharma,Sampoornesh Babu,Comedy,S,8.9
2015,Jyothi Lakshmi,Puri Jagannadh,Charmy Kaur,Horror,U,2.5
2015,Lava Kusa,Jay,Varun Sandesh,Romance,U/A,7.6
2015,Kerintha,Kiran,Sumanth,Drama / Action,S,4.9
2015,Krishnamma Kalipindi Iddarini,R. Chandru,Sudheer Babu,Romance / Drama,U,8.2
2015,Tippu,Jagadish,Karthik,Drama,U/A,8.9
2015,Vinavayya Ramayya,Prasad,Anvesh,Action,S,3
2015,Jadoogadu,Yogie,Naga Shourya,Comedy,U,7.6
2015,Tiger,Anand,Sundeep Kishan,Romance,U/A,4.9
2015,Where Is Vidya Balan,Srinivas,Prince,Drama,S,8.2
2015,Mantra 2,Satish,Charmme Kaur,Romance / Drama,U,8.9
2015,Superstar Kidnap,A.Sushanth Reddy,Nandu,Romance,U/A,3.5
2015,The Bells,Nellutla Praveen Chander,Rahul,Romance,S,7.6
2015,Bahubali - The Beginning,S.S. Rajamouli,Prabhas,Documentary,U,4.9
2015,James Bond,Sai Kishore Macha,Allari Naresh,Suspense Thriller,U/A,8.2
2015,Mirchi Lanti Kurradu,Jayanag,Abijeet,Comedy,S,8.9
2015,Srimanthudu,Koratala Siva,Mahesh Babu,Comedy,U,4
2015,Cinema Choopistha Mava,Trinadha Rao Nakkina,Raj Tarun,Action,U/A,7.6
2015,Kick 2,Surender Reddy,Ravi Teja,Romance,S,4.9
2015,Best Actors,Arun Pawar,Nandu,Action,U,8.2
2015,Dynamite,Deva Katta,Manchu Vishnu,Drama,U/A,8.9
2015,Bhale Bhale Magadivoy,Maruthi,Nani,Romance,S,1
2015,Courier Boy Kalyan,Premsai,Nithiin,Romance,U,7.6
2015,Ketagadu,Not Available,Tejus Kancherla,Action,U/A,4.9
2015,Subramanyam For Sale,Harish Shankar,Sai Dharam Tej,Drama,S,8.2
2015,Chandrika,Yogesh,Jayram Karthik,Comedy / Drama,U,8.9
2015,Shivam,Srinivas Reddy,Ram,Romance,U/A,1.5
2015,Rudhramadevi,Gunasekhar,Anushka Shetty,Romance,S,7.6
2015,Bruce Lee,Srinu Vaitla,Ram Charan,Action,U,4.9
2015,Kanche,Krish,Varun Tej,Romance,U/A,8.2
2015,Columbus,R Samala,Sumanth Ashwin,Action,S,8.9
2015,Raju Gari Gadhi,Omkar,Ashwin Babu,Action / Crime,U,2
2015,Sher,Mallikarjun,Kalyan Ram,Drama,U/A,7.6
2015,Tripura,Raj Kiran,Colors Swathi,Action,S,4.9
2015,Akhil,Vinayak,Akhil Akkineni,Drama / Documentary,U,8.2
2015,Kumari 21F,Surya Pratap,Raj Tarun,Action,U/A,8.9
2015,Cheekati Rajyam,Rajesh,Kamal Haasan,Drama,S,2.5
2015,Size Zero,Prakash,Arya,Comedy,U,7.6
2015,Thanu Nenu,Ram Mohan,Santosh Sobhan,Action,U/A,4.9
2015,Veediki Dookudekkuva,SatyaNarayana,Srikanth,Comedy,S,8.2
2015,Sankarabharanam,Uday,Nikhil,Action,U,8.9
2015,Bengal Tiger,Sampath Nandi,Ravi Teja,Action,U/A,3
2015,Hitudu,Viplav,Jagapathi Babu,Action,S,7.6
2015,Anaganaga Oka Chitram,J. Prabhakar Reddy,Shiva,Comedy,U,4.9
2015,Kaki: Sound of Warning,Manon M,Ashok,Action,U/A,8.2
2015,Loafer,Puri Jagannadh,Varun Tej,Romance,S,8.9
2015,Taskara,Chandra Sekhar,Not Available,Romance / Drama,U,3.5
2015,Soukhyam,AS Ravi Kumar Chowdhary,Gopichand,Drama,U/A,7.6
2015,Bhale Manchi Roju,Sriram Adittya. T,Sudheer Babu,Action / Romance,S,4.9
2015,Mama Manchu Alludu Kanchu,Sriniwass Reddy,Mohan Babu,Action,U,8.2
2015,Jatha Kalise,Rakesh Sashii,Ashwin Babu,Action,U/A,8.9
2016,Chitram Bhalare Vichitram,Bhanu Prakash Balusu,Chandini Tamilarasan,Comedy,S,4
2016,Abbayitho Ammayi,Ramesh Varma,Naga Shourya,Romance,U,7.6
2016,Nenu.. Sailaja...,Kishore Tirumala,Ram Pothineni,Drama,U/A,4.9
2016,Nannaku Prematho,Sukumar,Jr NTR,Action,S,8.3
2016,Express Raja,Merlapaka Gandhi,Sharwanand,Romance,U,8.9
2016,Dictator,Sriwass,Nandamuri Balakrishna,Fantasy / Horror,U/A,1
2016,Soggade Chinni Nayana,Kalyan Krishna,Nagarjuna,Mystery,S,7.6
2016,Lacchimdeviki O Lekkundi,Jagadish Talasila,Lavanya Tripathi,Comedy,U,4.9
2016,Seethamma Andalu Ramayya Sitralu,Gavireddy Srinivas Reddy,Raj Tarun,Action,U/A,8.3
2016,Lajja,Narasimha Nandi,Madhumitha,Romance,S,8.9
2016,Speedunnodu,Bhimaneni Srinivasa Rao,Bellamkonda Sreenivas,Action,U,1.5
2016,Vennello Hai Hai,Vamsy,Ajmal,Comedy,U/A,7.6
2016,Krishna Gaadi Veera Prema Gaadha,Hanu Raghavapudi,Nani,Romance / Comedy,S,4.9
2016,Garam,Madan,Aadi,Action,U,8.3
2016,Krishnashtami,Vasu Varma,Sunil,Action,U/A,8.9
2016,Malupu,Sathya Prabhas Pinisetty,Aadhi,Action,S,2
2016,Kshanam,Ravikanth,Adivi Sesh,Drama,U,7.6
2016,Eluka Majaka,Relangi Narasimha Rao,Vennela Kishore,Romance,U/A,4.9
2016,Padesave,Chuniya,Karthik Raju,Drama,S,8.3
2016,Terror,Sathish Kasetty,Srikanth,Drama,U,9
2016,Veeri Veeri Gu,M V Sagar,Rudra,Action / Drama,U/A,2.5
2016,Guntur Talkies,Praveen Sattaru,Siddu Jonnalagadda,Romance,S,7.6
2016,Kalyana Vaibhogame,Nandini Reddy,Naga Shourya,Action,U,4.9
2016,Shourya,K. Dasaradh,Manoj Manchu,Adult drama,U/A,8.3
2016,Tuntari,Kumar Nagendra,Nara Rohit,Action,S,9
2016,Tulasi Dalam,R. P. Patnaik,Nischal,Action,U,3
2016,O Sthree Repu Raa,T. Ashok Kumar Reddy,Ashish Gandhi,Adult romance,U/A,7.6
2016,Nenu Maa College,S. S. Dhakar,Manoj Nandan,Drama / Romance,S,4.9
2016,Drishya Kavyam,Bella Ramakrishna Reddy,Ram Karthik,Drama,U,8.3
2016,Seesa,Mohamad Issack,Sivaji,Romance / Drama,U/A,9
2016,Dandakaranyam,R. Narayana Murthy,R. Narayana Murthy,Action,S,3.5
2016,Romance With Finance,Rajju Kumpatla,Merina Abraham,Action,U,7.6
2016,Run,Anil Kanneganti,Sundeep Kishan,Romance,U/A,4.9
2016,Oopiri,Vamsi Paidipally,Nagarjuna,Romance,S,8.3
2016,Mohabbat Mein,Mahesh Surya,Karthik,Family Drama,U,9
2016,Ammayi Aaruguru,G. Muraliprasad,Ramachandra,Action,U/A,4
2016,Meera,Santhosh Eubulus,Aditya Anand,Action,S,7.6
2016,7 To 4,Vijay Sekhar Sankranth,Anand Bachu,Romance,U,4.9
2016,Attack,Ram Gopal Varma,Manchu Manoj,Adult romance,U/A,8.3
2016,Savitri,Pavan Sadineni,Nara Rohit,Romance,S,9
2016,Sardaar Gabbar Singh,K. S. Ravindra,Pawan Kalyan,Comedy,U,1
2016,Eedo Rakam Aado Rakam,G. Nageswara Reddy,Manchu Vishnu,Comedy / Romance,U/A,7.6
2016,Sarrainodu,Boyapati Srinu,Allu Arjun,Drama,S,4.9
2016,Raja Cheyyi Vesthe,Pradeep,Nara Rohit,Biopic,U,8.3
2016,Supreme,Anil Ravipudi,Sai Dharam Tej,Comedy,U/A,9
2016,Brahmotsavam,Srikanth Addala,Mahesh Babu,Action,S,1.5
2016,A Aa,Trivikram Srinivas,Nithiin,Romance,U,7.6
2016,Sri Sri,Muppalaneni Siva,Krishna,Action / Drama,U/A,4.9
2016,Okka Ammayi Thappa,Rajasimha Tadinada,Sundeep Kishan,Drama,S,8.3
2016,Parvathipuram,M.A. Chowdary,Madan,Drama,U,9
2016,Right Right,J. B. Murali krishna,Sumanth Ashwin,Romance / Comedy / Drama,U/A,2
2016,Gentleman,Mohan Krishna Indraganti,Nani,Drama,S,7.6
2016,Premikudu,Kala Sundeep,Maanas N,Drama,U,5
2016,Meeku Meere Maaku Meme,Hussain Sha Kiran,Tarun Shetty,Satirical Comedy,U/A,8.3
2016,Guppedantha Prema,Vinod Lingala,Sai Ronak,Romance,S,9
2016,Oka Manasu,Rama Raju Gottimukkala,Naga Shourya,Drama,U,2.5
2016,Kundanapu Bomma,Mullapudi Vara,Chandini Chowdary,Action,U/A,7.6
2016,Rajadhi Raja,Cheran,Sharwanand,Drama,S,5
2016,Arddhanaari,Bhanushanker Chowdary,Arjun Yajath,Drama / Romance,U,8.3
2016,Rojulu Marayi,Murali Krishna Mudidani,Chethan,Action,U/A,9
2016,Antham,GSSP Kalyan,Rashmi Gautam,Drama,S,3
2016,Iddaram,Sudhakar Vinukonda,Sanjeev,Action,U,7.6
2016,Selfie Raja,G. Eshwar Reddy,Allari Naresh,Action,U/A,5
2016,Nayaki,Goverdhan Reddy,Trisha,Drama,S,8.3
2016,Pelli Choopulu,Tharun Bhascker Dhaassyam,Vijay Deverakonda,Action / Drama,U,9
2016,Jakkanna,Vamshi Krishna Akella,Sunil,Action,U/A,3.5
2016,Manamantha,Chandra Sekhar Yeleti,Mohanlal,Romance,S,7.6
2016,Srirastu Subhamastu,Parasuram,Allu Sirish,Action,U,5
2016,Babu Bangaram,Maruthi,Venkatesh,Romance,U/A,8.3
2016,Bommala Ramaram,Nishanth Pudhari,Soori,Action / Romance,S,9
2016,Thikka,Sunil Reddy,Sai Dharam Tej,Thriller,U,4
2016,Aatadukundam Raa,G. Nageswara Reddy,Sushanth,Action,U/A,7.7
2016,Chuttalabbai,Veerabhadram Chowdary,Aadi,Romance,S,5
2016,Banthi Poola Janaki,Nellutla Praveen Chander,Dhanraj,Drama,U,8.3
2016,Avasaraniko Abaddam,Suresh KV,Lokesh,Drama,U/A,9
2016,Janatha Garage,Koratala Siva,Mohanlal,Drama,S,1
2016,Jyo Achyutananda,Srinivas Avasarala,Nara Rohit,Drama,U,7.7
2016,Hora Hori,Teja,Dileep Reddy,Action,U/A,5
2016,Nirmala Convent,G. Naga Koteshwar Rao,Roshan Meka,Comedy,S,8.3
2016,Siddhartha,K V Dayanand Reddy,Sagar,Romance,U,9
2016,Majnu,Virinchi Varma,Nani,Action,U/A,1.5
2016,Hyper,Santosh Srinivas,Ram Pothineni,Crime Thriller,S,7.7
2016,Nee Jathaleka,Lawerence Dasari,Naga Shourya,Romance / Comedy,U,5
2016,Jaguar,Mahadev,Nikhil Gowda,Romance / Thriller,U/A,8.3
2016,Abhinetri,A. L. Vijay,Prabhu Deva,Drama,S,9
2016,Eedu Gold Ehe,Veeru Potla,Sunil,Period action,U,2
2016,Mana Oori Ramayanam,Prakash Raj,Prakash Raj,Horror / Thriller,U/A,7.7
2016,Premam,Chandoo Mondeti,Naga Chaitanya,Romance,S,5
2016,Ism,Puri Jagannadh,Nandamuri Kalyan Ram,Romance / Drama,U,8.3
2016,L7,Mukund Pande,Adith Arun,Action,U/A,9
2016,Nandini Nursing Home,P. V. Giri,Nawin Vijay Krishna,Drama,S,2.5
2016,Shankara,Thathineni Satya Prakash,Nara Rohith,Romance / Comedy,U,7.7
2016,Thanu Vachenanta,Venkat Kancherla,Rashmi Gautam,Romance,U/A,5
2016,Aavu Puli Madhyalo Prabhas Pelli,Ravi Pachipala,Kalakeya Prabhakar,Romance,S,8.3
2016,Manalo Okkadu,R. P. Patnaik,R. P. Patnaik,Romance,U,9
2016,Naruda Donoruda,Mallik Ram,Sumanth,Drama,U/A,3
2016,Sahasam Swasaga Sagipo,Gautham Vasudev Menon,Naga Chaitanya,Comedy Drama,S,7.7
2016,Ekkadiki Pothavu Chinnavada,Vi Anand,Nikhil Siddharth,Drama,U,5
2016,Jayammu Nischayammu Raa,Shiva Raj Kanumuri,Srinivasa Reddy,Romance,U/A,8.3
2016,Aata,Raaj Kumar Reddy,Shradda Das,Adult romance,S,9
2016,Araku Road Lo,Wassudev,Sairam Shankar,Drama,U,3.5
2016,Dhruva,Surender Reddy,Ram Charan,Action,U/A,7.7
2016,Meelo Evaru Koteeswarudu,E. Satthibabu,Naveen Chandra,Drama,S,5
2016,Janaki Ramudu,T. Satish Babu,Mouryaani,Romance,U,8.3
2016,Naanna Nenu Naa Boyfriends,Bhaskar Bandi,Hebah Patel,Action,U/A,9
2016,Saptagiri Express,Arun Pawar,Saptagiri,Romance,S,4
2016,Vangaveeti,Ram Gopal Varma,Sandeep Kumar,Drama,U,7.7
2016,Sarabha,Narsimha Rao,Aakash Kumar Sehdev,Romance / Thriller,U/A,5
2016,Pittagoda,Anudeep K. V.,Vishwadev,Comedy,S,8.3
2016,Appatlo Okadundevadu,Saagar K Chandra,Nara Rohith,Comedy,U,9
2016,Karam Dosa,Trivikram Gajulapalli,Shivakumar Ramachandravarapu,Drama,U/A,1
2016,Intlo Deyyam Nakem Bhayam,G. Nageswara Reddy,Allari Naresh,Romance,S,7.7
2016,Nenosta,Parand Kalyan,Gnan Prakash,Romance,U,5
2017,Evaro Tanevaro,S. Babji,Naveen Gautham,Drama,U/A,8.3
2017,Inkenti Nuvve Cheppu,Siva Sri,Prashanth Bodetti,Romance,S,9
2017,No.1 Hero Rajendar Love Stori,Rajendar,Rajendar,Drama,U,1.5
2017,Padamati Sandhyaragam London Lo,Vamshi Muniganti,Mirabel Stuart,Action / Romance,U/A,7.7
2017,Ye Rojaithey Chusaano,G. Bala,Manoj Nandam,Drama,S,5
2017,Khaidi No. 150,V.V. Vinayak,Chiranjeevi,Comedy,U,8.3
2017,Gautamiputra Satakarni,Krish,Nandamuri Balakrishna,Comedy,U/A,9
2017,Head Constable Venkataramaiah,Chadalavada Srinivasa Rao,R. Narayana Murthy,Romance,S,2
2017,Shatamanam Bhavati,Satish Vegesna,Sharwanand,Comedy / Romance,U,7.7
2017,Luckunnodu,Raj Kiran,Manchu Vishnu,Action,U/A,5
2017,Nenu Local,Trinadha Rao Nakkina,Nani,Not Available,S,8.3
2017,Ika..Se..Love,Dungroth Nagaraj,Sai Ravi,Action / Drama,U,9
2017,Om Namo Venkatesaya,K. Raghavendra Rao,Nagarjuna Akkineni,Romance / Drama,U/A,2.5
2017,Ghazi,Sankalp Reddy,Daggubati Rana,Comedy,S,7.7
2017,Vajralu Kavala Nayana,Radha Krishna,Anil Buragani,Action,U,5
2017,C/o Godavari,Raja Rammohan,Deepu Naidu,Romance,U/A,8.3
2017,Winner,Gopichand Malineni,Sai Dharam Tej,Romance,S,9
2017,Dwaraka,Srinivas Ravindra,Vijay Deverakonda,Romance,U,3
2017,Gunturodu,S. K. Satya,Manchu Manoj,Romance,U/A,7.7
2017,Kittu Unnadu Jagratha,Vamsi Krishna,Raj Tarun,Romance / Drama,S,5
2017,Aakatayi,Rom Bhimana,Aashish Raj,Action,U,8.3
2017,Chitrangada,G. Ashok,Anjali,Drama,U/A,9
2017,Lakshmi Bomb,Karthikeya Gopalakrishna,Lakshmi Manchu,Drama,S,3.5
2017,Happy Birthday,Pallela Veerareddy,Chennamaneni Sridhar,Drama,U,7.7
2017,Maa Abbayi,Kumar Vatti,Sree Vishnu,Comedy,U/A,5
2017,Nenorakam,Sudharshan Salendra,Sai Ram Shankar,Action,S,8.3
2017,Pichiga Nachav,V. Sesibhushan,Sanjeev,Action,U,9
2017,Katamarayudu,Kishore Kumar Pardasani,Pawan Kalyan,Romance,U/A,4
2017,Kannayya,Vipul,Vipul,Drama,S,7.7
2017,Nuvvu Evaro Nenu Evaro,Bhaskar,Suman Shetty,Comedy/ Romance / Drama,U,5
2017,Cine Mahal - Rojuki 4 Aatalu,Laxman Varma,Ryan Rahul,Action,U/A,8.3
2017,Guru,Sudha Kongara Prasad,Daggubati Venkatesh,Romance,S,9
2017,Rogue,Puri Jagannadh,Ishaan,Action,U,1
2017,Aranyamlo,Sudarshan Reddy Palvai,Rohit,Romance,U/A,7.7
2017,Chinni Chinni Asalu Nalo Regene,Santhosh Nelanti,Keerthi Manu,Family,S,5
2017,Kathrina Kareena Madyalo Kamalhaasan,Ratna Korepally,Mamatha Rahuth,Drama,U,8.3
2017,Lakshmi Devi Samarpinchu Nede Chudandi,Jakee Atheek,Naresh,Drama,U/A,9
2017,Nuvvu Nenu Osey Orey,Ravichandra Kannikanti,Arjun Mahi,Action,S,1.5
2017,Saranam Gacchami,Premaraj Enumula,Naveen Sanjay,Romance,U,7.7
2017,Mister,Srinu Vaitla,Varun Tej,Romance,U/A,5
2017,Dhada Puttistha,Harish. E,Vinni Viyan,Action,S,8.3
2017,Iddari Madhya 18,Nani Acharya,Ram Karthik,Comedy,U,9
2017,Lanka,Sri Muni,Raasi,Romance,U/A,2
2017,Lover Boy,Sanjeev Naidu,Sanjeev Naidu,Romance,S,7.7
2017,Baahubali 2 - The Conclusion,S. S. Rajamouli,Prabhas,Drama,U,5
2017,Babu Baga Busy,Naveen Medaram,Srinivas Avasarala,Action,U/A,8.3
2017,Radha,Chandra Mohan,Sharwanand,Horror,S,9
2017,Rakshaka Bhatudu,Vamsi Krishna Akella,Richa Panai,Action,U,2.5
2017,Venkatapuram,Venu Madikanti,Rahul Haridas,Romance / Action,U/A,7.7
2017,Keshava,Sudheer Varma,Nikhil Siddharth,Action,S,5
2017,Mixture Potlam,Sathish Kumar M. V.,Shweta Basu Prasad,Drama,U,8.3
2017,Tik Tak,Haranath Policherla,Haranath Policherla,Action,U/A,9
2017,Gopyam,Ballem Venu Madhav,Tharun Sharma,Action,S,3
2017,Neelimalai,Suryakiran Eladi,Anand Krishna,Action / Romance,U,7.7
2017,O Pilla Nee Valla,Kishore,Krishna Chaitanya,Action,U/A,5
2017,Rarandoi Veduka Chudham,Kalyan Krishna Kurasala,Naga Chaitanya,Comedy,S,8.3
2017,Sriramudinta Srikrishnudanta,Naresh Penta,Sekhar Varma,Comedy,U,9
2017,Andhhagadu,Veligonda Srinivas,Raj Tarun,Romance,U/A,3.5
2017,Fashion Designer s/o Ladies Tailor,Vamsy,Sumanth Ashwin,Action,S,7.7
2017,Neelampati Ammoru,Thota Krishnamurthy,Sai Kiran,Horror / Thriller / Drama,U,5
2017,Ami Thumi,Mohan Krishna Indraganti,Srinivas Avasarala,Comedy,U/A,8.3
2017,Kaadhali,Pattabhi R. Chilukuri,Pooja K. Doshi,Horror,S,9
2017,Pelliki Mundu Prema Katha,Madhu Gopu,Chethan Cheenu,Romance,U,4
2017,Raja Meeru Keka,Krishna Kishore,Taraka Ratna,Drama / Action,U/A,7.7
2017,Duvvada Jagannadham,Harish Shankar,Allu Arjun,Romance / Drama,S,5
2017,Jayadev,Jayanth C. Paranjee,Ganta Ravi,Drama,U,8.3
2017,Khayyum Bhai,Bharath,Katta Rambabu,Action,U/A,9
2017,Ninnu Kori,Shiva Nirvana,Nani,Comedy,S,1
2017,Rakshasi,Panna Royal,Abhimanyu Singh,Romance,U,7.7
2017,Rendu Rellu Aaru,Nandu,Anil Mallela,Drama,U/A,5
2017,Dr. Chakravarthy,Shekkhar Suri,Richard Rishi,Romance / Drama,S,8.3
2017,Patel S. I. R.,Vasu Parimi,Jagapati Babu,Romance,U,9
2017,Shamanthakamani,Sriram Adittya,Nara Rohit,Romance,U/A,1.5
2017,Fidaa,Sekhar Kammula,Varun Tej,Documentary,S,7.7
2017,Kala Varam Aaye,Sampath V. Kumar,Vibheesh,Suspense Thriller,U,5.1
2017,Maya Mall,Govind Lalam,Dilip Kumar,Comedy,U/A,8.3
2017,Vaisakham,Jaya. B,Harish,Comedy,S,9
2017,Goutham Nanda,Sampath Nandi,Gopichand,Action,U,2
2017,Naku Nene Thopu Turumu,Sivamani Reddy,Ashok Sunkara,Romance,U/A,7.7
2017,Darsakudu,Jakka Hari Prasad,Ashok Bandreddi,Action,S,5.1
2017,Green Card,Rums,Shatrughna Rayapati,Drama,U,8.3
2017,Idem Deyyam,V. Ravi Varma,Racha Ravi,Romance,U/A,9
2017,Nakshatram,Krishna vamsi,Sundeep Kishan,Romance,S,2.5
2017,Vasham,Srikanth Challa,Nanda Kishore,Action,U,7.7
2017,LIE,Hanu Raghavapudi,Nithiin,Drama,U/A,5.1
2017,Jaya Janaki Nayaka,Boyapati Srinu,Bellamkonda Sreenivas,Comedy / Drama,S,8.3
2017,Nene Raju Nene Mantri,Teja,Rana Daggubati,Romance,U,9
2017,Anando Brahma,Mahi V Raghav,Taapsee Pannu,Romance,U/A,3
2017,Prathi Kshanam,G. M. K. Reddy,Maneesh,Action,S,7.7
2017,Preminche Panilo Vunna,Pradeep Manchala,Raghuram Dronavajjala,Romance,U,5.1
2017,Arjun Reddy,Sandeep Reddy Vanga,Vijay Deverakonda,Action,U/A,8.3
2017,VIP 2,Soundarya Rajinikanth,Dhanush,Action / Crime,S,9
2017,Nee Preme Naa Pranam,RAJASEKHAR,Lucky,Drama,U,3.5
2017,Paisa Vasool,Puri Jagannadh,Nandamuri Balakrishna,Action,U/A,7.7
2017,Shalini,Sheraz,Amogh Deshapathi,Drama / Documentary,S,5.1
2017,Vellipomakey,Ali Mohammed,Vishwak Sen,Action,U,8.3
2017,Meda Meeda Abbayi,G. Prajith,Allari Naresh,Drama,U/A,9
2017,Yuddham Sharanam,Krishna Marimuthu,Naga Chaitanya,Comedy,S,4
2017,Kathalo Rajakumari,Mahesh Surapaneni,Nara Rohit,Action,U,7.7
2017,Srivalli,V. Vijayendra Prasad,Rajath Krishna,Comedy,U/A,5.1
2017,Ungarala Rambabu,Kranthi Madhav,Sunil,Action,S,8.3
2017,Veedevadu,Tatineni Satya,Sachiin J. Joshi,Action,U,9
2017,Jai Lava Kusa,K. S. Ravindra,N. T. Rama Rao Jr.,Action,U/A,1
2017,Spyder,AR Murugadoss,Mahesh Babu,Comedy,S,7.7
2017,Mahanubhavudu,Maruthi,Sharwanand,Action,U,5.1
2017,Lavanya With Love Boys,Vaddepalli Krishna,Paavani,Romance,U/A,8.3
2017,Bava Maradallu,Gangarapu Lakshman Murthy,Mohan Krishna,Romance / Drama,S,9
2017,Nenu Kidnap Ayyanu,Sreekara Babu,Posani Krishna Murali,Drama,U,1.5
2017,Oye Ninne,Satyam Challakoti,Bharath Margani,Action / Romance,U/A,7.7
2017,Gulf,P. Sunil Kumar Reddy,Chethan Maddineni,Action,S,5.1
2017,Raju Gari Gadhi 2,Ohmkar,Nagarjuna,Action,U,8.3
2017,Yours Lovingly,Jogi Raju Mamidi,Prudhvi Potluri,Comedy,U/A,9
